t,x,y,z,roll,pitch,yaw
32.30000,12.96000,0.00926,0.28403,0.00750,-0.01191,0.00000
32.40000,13.00000,0.00939,0.28395,0.00823,-0.01364,0.00000
32.50000,13.04000,0.00940,0.28411,0.00885,-0.01505,0.00000
32.60000,13.08000,0.00928,0.28450,0.00932,-0.01614,0.00000
32.70000,13.12000,0.00904,0.28511,0.00959,-0.01693,0.00000
32.80000,13.16000,0.00872,0.28591,0.00964,-0.01744,0.00000
32.90000,13.20000,0.00830,0.28689,0.00944,-0.01769,0.00000
33.00000,13.24000,0.00782,0.28803,0.00899,-0.01772,0.00000
33.10000,13.28000,0.00729,0.28931,0.00830,-0.01753,-0.00000
33.20000,13.32000,0.00672,0.29069,0.00739,-0.01716,-0.00000
33.30000,13.36000,0.00612,0.29216,0.00627,-0.01661,0.00000
33.40000,13.40000,0.00552,0.29370,0.00499,-0.01589,0.00000
33.50000,13.44000,0.00491,0.29528,0.00360,-0.01501,0.00000
33.60000,13.48000,0.00431,0.29688,0.00215,-0.01398,-0.00000
33.70000,13.52000,0.00373,0.29848,0.00068,-0.01281,0.00000
33.80000,13.56000,0.00318,0.30004,-0.00075,-0.01150,0.00000
33.90000,13.60000,0.00266,0.30157,-0.00211,-0.01006,0.00000
34.00000,13.64000,0.00216,0.30302,-0.00334,-0.00851,-0.00000
34.10000,13.68000,0.00171,0.30439,-0.00444,-0.00685,-0.00000
34.20000,13.72000,0.00129,0.30566,-0.00539,-0.00511,0.00000
34.30000,13.76000,0.00090,0.30681,-0.00619,-0.00330,0.00000
34.40000,13.80000,0.00054,0.30783,-0.00684,-0.00147,0.00000
34.50000,13.84000,0.00022,0.30871,-0.00737,0.00037,0.00000
34.60000,13.88000,-0.00008,0.30944,-0.00781,0.00217,-0.00000
34.70000,13.92000,-0.00035,0.31000,-0.00818,0.00391,0.00000
34.80000,13.96000,-0.00060,0.31040,-0.00853,0.00555,-0.00000
34.90000,14.00000,-0.00082,0.31063,-0.00887,0.00706,0.00000
35.00000,14.04000,-0.00102,0.31070,-0.00923,0.00840,0.00000
35.10000,14.08000,-0.00120,0.31060,-0.00962,0.00956,0.00000
35.20000,14.12000,-0.00136,0.31034,-0.01006,0.01052,0.00000
35.30000,14.16000,-0.00149,0.30993,-0.01053,0.01127,0.00000
35.40000,14.20000,-0.00160,0.30939,-0.01100,0.01181,0.00000
35.50000,14.24000,-0.00169,0.30871,-0.01146,0.01213,0.00000
35.60000,14.28000,-0.00175,0.30792,-0.01185,0.01225,0.00000
35.70000,14.32000,-0.00180,0.30704,-0.01214,0.01218,-0.00000
35.80000,14.36000,-0.00182,0.30607,-0.01227,0.01195,0.00000
35.90000,14.40000,-0.00182,0.30505,-0.01220,0.01156,0.00000
36.00000,14.44000,-0.00180,0.30398,-0.01189,0.01106,0.00000
36.10000,14.48000,-0.00178,0.30288,-0.01131,0.01045,0.00000
36.20000,14.52000,-0.00175,0.30178,-0.01043,0.00975,0.00000
36.30000,14.56000,-0.00172,0.30069,-0.00927,0.00899,0.00000
36.40000,14.60000,-0.00170,0.29963,-0.00783,0.00816,0.00000
36.50000,14.64000,-0.00169,0.29861,-0.00615,0.00728,0.00000
36.60000,14.68000,-0.00171,0.29765,-0.00428,0.00635,0.00000
